c,n,g,AP,APB-SUMATE,FP,LIBRE,LYP-ADN,MAS-IPSP,PDC,UNIDAD,n,b,v,c_replaced
130.25759,U. E. Inca Huayna Capac,PDC,38,2,12,3,1,21,104,1,144,19,182,130.25759
1300.1,Escuela Chunca Cancha,AP,16,5,0,3,2,1,5,1,34,7,33,1300.1
1303.1,Escuela Jatun Mayu,AP,47,3,7,8,4,3,45,2,87,16,119,1303.1
1305.1,Colegio San Pio X,PDC,189,257,10,302,19,65,570,125,367,76,1537,1305.1
1305.26132,(Cárcel) Carceleta Pública de Padilla,PDC,4,2,0,5,0,5,8,4,33,3,28,1305.26132
1305.30007,U.E. Deogracias Vega,PDC,140,238,23,246,19,37,544,101,364,95,1348,1305.30007
1306.1,Unidad Educativa 2 de Abril La Cienega,AP,47,31,4,5,5,3,31,6,61,27,132,1306.1
1307.1,Unidad Educativa Telemina Barja,PDC,16,10,4,8,4,4,66,8,60,12,120,1307.1
1308.1,Nucleo Escolar Humberto Delgadillo,PDC,26,15,4,31,2,9,154,19,84,22,260,1308.1
1309.1,Nucleo Escolar Adrián Moya Tapia,PDC,24,23,5,7,4,3,63,8,61,21,137,1309.1
131.2399,Nucleo Escolar de Patapatani,PDC,24,1,3,3,1,3,79,2,71,6,116,131.2399
1314.1,Unidad Educativa Eduardo Avaroa,PDC,184,31,30,128,17,52,393,53,362,88,888,1314.1
1315.1,U.E. Destacamento 111,PDC,65,16,15,20,12,11,94,21,194,50,254,1315.1
1318.1,U.E. Rvdo. Hans Josef Vossing,PDC,112,49,10,59,8,26,200,31,235,66,495,1318.1
1318.2,Colegio 25 de Mayo,PDC,77,25,9,67,6,11,145,8,116,29,348,1318.2
1319.1,Internado Santa Rosa De Amancaya,PDC,11,4,1,1,2,1,35,2,193,21,57,1319.1
132.2453,Colegio Macamaca,PDC,146,7,36,16,6,7,208,7,242,84,433,132.2453
1324.1,Unidad Educativa Alcala,PDC,66,51,12,124,18,39,309,75,179,76,694,1324.1
1325.1,Escuela Oscar Alfaro,PDC,82,20,10,16,2,15,104,16,155,40,265,1325.1
1326.1,Colegio Eduardo Abaroa,PDC,130,26,10,73,12,45,209,48,160,39,553,1326.1
133.25756,U.E. Gualberto Villarroel,PDC,109,22,35,16,14,24,294,18,285,96,532,133.25756
